Region;temp_inc;rain;flood;ghg_em
North East England;5879598142;5402051954;4430929442;1250097957
North West England;15803191325;24608405230;9316073362;10533894387
Yorkshire and the Humber;20355144530;16806210674;59383597499;8972627317
East Midlands;2379655162;2587856268;2244474029;1795270923
West Midlands;2687981964;4564609499;1120606637;2517552604
East of England;19539652971;11642109411;6285758606;8405984079
London;19807366307;11697406421;7177815646;6358089472
South East England;69694112161;65013708152;48382913668;35409831271
South West England;4136503301;10358752954;5719195678;3723151298
Wales;9590474278;27522632617;9311441666;6783333049
Scotland;14151773299;33470229181;6910778044;12570852602
Northern Ireland;5671434204;16236767876;5369673405;4204191687
